"Accession"	"Species"	"Length"	"Sequence_Type"	"Host"	"Collection_Date"	"Country.1"	"Country.2"
"516"	"JQ685951"	"Rabies lyssavirus"	11821	"GenBank"	"Eptesicus fuscus"	"2010"	USA	
"517"	"JQ685952"	"Rabies lyssavirus"	11923	"GenBank"	"Parastrellus hesperus"	"2002"	USA	
"518"	"JQ685955"	"Rabies lyssavirus"	11923	"GenBank"	"Myotis yumanensis"	"2005"	USA	
"519"	"JQ685956"	"Rabies lyssavirus"	11922	"GenBank"	"Eptesicus fuscus"	"1975"	USA	
"520"	"JQ685957"	"Rabies lyssavirus"	11922	"GenBank"	"Urocyon cinereoargenteus"	"2009"	USA	
"521"	"JQ685958"	"Rabies lyssavirus"	11929	"GenBank"	"Mephitis mephitis"	"2001"	USA	
"522"	"JQ685959"	"Rabies lyssavirus"	11922	"GenBank"	"Mephitis mephitis"	"2001"	USA	
"523"	"JQ685960"	"Rabies lyssavirus"	11922	"GenBank"	"Eptesicus fuscus"	"2001"	USA	
"524"	"JQ685961"	"Rabies lyssavirus"	11922	"GenBank"	"Eptesicus fuscus"	"2010"	USA	
"525"	"JQ685962"	"Rabies lyssavirus"	11922	"GenBank"	"Mephitis mephitis"	"2001"	USA	
"526"	"JQ685964"	"Rabies lyssavirus"	11922	"GenBank"	"Mephitis mephitis"	"2004"	USA	
"527"	"JQ685965"	"Rabies lyssavirus"	11923	"GenBank"	"Parastrellus hesperus"	"2002"	USA	
"528"	"JQ685966"	"Rabies lyssavirus"	11929	"GenBank"	"Mephitis mephitis"	"2001"	USA	
"529"	"JQ685967"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitis mephitis"	""	USA	
"530"	"JQ685968"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitis mephitis"	"2009"	USA	
"531"	"JQ685969"	"Rabies lyssavirus"	11922	"GenBank"	"Mephitis mephitis"	"2001"	USA	
"532"	"JQ685970"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitis mephitis"	"1974"	USA	
"533"	"JQ685971"	"Rabies lyssavirus"	11924	"GenBank"	"Antrozous pallidus"	"2009"	USA	
"534"	"JQ685972"	"Rabies lyssavirus"	11821	"GenBank"	"Urocyon cinereoargenteus"	"2009"	USA	
"535"	"JQ685973"	"Rabies lyssavirus"	11922	"GenBank"	"Canis latrans"	"2011"	USA	
"536"	"JQ685974"	"Rabies lyssavirus"	11922	"GenBank"	"Eptesicus fuscus"	"1995"	USA	
"537"	"JQ685976"	"Rabies lyssavirus"	11802	"GenBank"	"Urocyon cinereoargenteus"	"2009"	USA	
"538"	"JQ685977"	"Rabies lyssavirus"	11821	"GenBank"	"Urocyon cinereoargenteus"	"2010"	USA	
"539"	"AB645847"	"Rabies lyssavirus"	11923	"GenBank"	"Marmota monax"	""	USA	
"540"	"HM535790"	"Rabies lyssavirus"	11927	"GenBank"	""	""	USA	
"541"	"KY860583"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"1999"	Turkey	
"542"	"KY860584"	"Rabies lyssavirus"	11924	"GenBank"	"Canidae"	"1999"	Turkey	
"543"	"KY860585"	"Rabies lyssavirus"	11923	"GenBank"	"Canidae"	"2001"	Turkey	
"544"	"KY860586"	"Rabies lyssavirus"	11923	"GenBank"	"Canidae"	"2001"	Turkey	
"545"	"KY860587"	"Rabies lyssavirus"	11923	"GenBank"	"Canidae"	"2001"	Turkey	
"546"	"KY860588"	"Rabies lyssavirus"	11924	"GenBank"	"Canidae"	"2004"	Turkey	
"547"	"KY860589"	"Rabies lyssavirus"	11924	"GenBank"	"Canidae"	"2006"	Turkey	
"548"	"KY860590"	"Rabies lyssavirus"	11923	"GenBank"	"Canidae"	"2007"	Turkey	
"549"	"KY860591"	"Rabies lyssavirus"	11924	"GenBank"	"Canidae"	"2008"	Turkey	
"550"	"KY860592"	"Rabies lyssavirus"	11924	"GenBank"	"Canidae"	"2009"	Turkey	
"551"	"KY860593"	"Rabies lyssavirus"	11924	"GenBank"	"Canidae"	"2010"	Turkey	
"552"	"KY860594"	"Rabies lyssavirus"	11924	"GenBank"	"Canidae"	"2012"	Turkey	
"553"	"KY860595"	"Rabies lyssavirus"	11923	"GenBank"	"Canidae"	"2012"	Turkey	
"554"	"KY860596"	"Rabies lyssavirus"	11924	"GenBank"	"Canidae"	"2014"	Turkey	
"555"	"KY860597"	"Rabies lyssavirus"	11924	"GenBank"	"Canis lupus familiaris"	"2014"	Turkey	
"556"	"KY860598"	"Rabies lyssavirus"	11924	"GenBank"	"Canidae"	"2014"	Turkey	
"557"	"KY860599"	"Rabies lyssavirus"	11924	"GenBank"	"Canis lupus familiaris"	"2014"	Turkey	
"558"	"KY860600"	"Rabies lyssavirus"	11925	"GenBank"	"Canidae"	"2014"	Turkey	
"559"	"KY860601"	"Rabies lyssavirus"	11925	"GenBank"	"Canidae"	"2014"	Turkey	
"560"	"KY860602"	"Rabies lyssavirus"	11924	"GenBank"	"Canis lupus familiaris"	"2014"	Turkey	
"561"	"KY860603"	"Rabies lyssavirus"	11923	"GenBank"	"Canidae"	"2015"	Turkey	
"562"	"KY860604"	"Rabies lyssavirus"	11923	"GenBank"	"Canidae"	"2000"	Turkey	
"563"	"KY860605"	"Rabies lyssavirus"	11923	"GenBank"	"Canidae"	"2001"	Turkey	
"564"	"KY860606"	"Rabies lyssavirus"	11923	"GenBank"	"Canidae"	"2001"	Turkey	
"565"	"KY860607"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2001"	Turkey	
"566"	"KY860608"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2001"	Turkey	
"567"	"KY860609"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2001"	Turkey	
"568"	"KY860610"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2001"	Turkey	
"569"	"KY860611"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2001"	Turkey	
"570"	"KY860612"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"1989"	Turkey	
"571"	"KX148162"	"Rabies lyssavirus"	11801	"GenBank"	"Canis lupus familiaris"	"1993"	Turkey	
"572"	"KX148163"	"Rabies lyssavirus"	11801	"GenBank"	"Canis lupus familiaris"	"1993"	Turkey	
"573"	"KX148164"	"Rabies lyssavirus"	11801	"GenBank"	"Canis lupus familiaris"	"1993"	Turkey	
"574"	"KX148165"	"Rabies lyssavirus"	11802	"GenBank"	"Canis lupus familiaris"	"1993"	Turkey	
"575"	"KX148166"	"Rabies lyssavirus"	11801	"GenBank"	"Canis lupus familiaris"	"1993"	Turkey	
"576"	"KX148167"	"Rabies lyssavirus"	11801	"GenBank"	"Canis lupus familiaris"	"1993"	Turkey	
"577"	"MK981888"	"Rabies lyssavirus"	11796	"GenBank"	"Canis lupus familiaris"	"1993"	Tunisia	
"578"	"MN075931"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"1999"	Thailand	
"579"	"JN786877"	"Rabies lyssavirus"	11923	"GenBank"	""	""	Thailand	
"580"	"JN786878"	"Rabies lyssavirus"	11923	"GenBank"	""	""	Thailand	
"581"	"EU293111"	"Rabies lyssavirus"	11925	"GenBank"	"Homo sapiens"	"1983"	Thailand	
"582"	"KR906752"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Zanzibar, Kusini Unguja
"583"	"KY210220"	"Rabies lyssavirus"	11914	"GenBank"	"Capra hircus"	"2008"	Tanzania	 Serengeti District
"584"	"KY210221"	"Rabies lyssavirus"	11912	"GenBank"	"Capra hircus"	"2008"	Tanzania	 Serengeti District
"585"	"KY210222"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2009"	Tanzania	 Serengeti District
"586"	"KY210223"	"Rabies lyssavirus"	11914	"GenBank"	"Canis lupus familiaris"	"2007"	Tanzania	 Serengeti District
"587"	"KY210224"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2010"	Tanzania	 Serengeti District
"588"	"KY210225"	"Rabies lyssavirus"	11923	"GenBank"	"Capra hircus"	"2011"	Tanzania	 Serengeti District
"589"	"KY210226"	"Rabies lyssavirus"	11920	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"590"	"KY210227"	"Rabies lyssavirus"	11914	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"591"	"KY210228"	"Rabies lyssavirus"	11856	"GenBank"	"Capra hircus"	"2011"	Tanzania	 Serengeti District
"592"	"KY210229"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"593"	"KY210230"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2011"	Tanzania	 Serengeti District
"594"	"KY210231"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"595"	"KY210232"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"596"	"KY210233"	"Rabies lyssavirus"	11923	"GenBank"	"Capra hircus"	"2011"	Tanzania	 Serengeti District
"597"	"KY210234"	"Rabies lyssavirus"	11914	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"598"	"KY210235"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"599"	"KY210236"	"Rabies lyssavirus"	11914	"GenBank"	"Bos taurus"	"2011"	Tanzania	 Serengeti District
"600"	"KY210237"	"Rabies lyssavirus"	11920	"GenBank"	"Bos taurus"	"2011"	Tanzania	 Serengeti District
"601"	"KY210238"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"602"	"KY210239"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"603"	"KY210240"	"Rabies lyssavirus"	11884	"GenBank"	"Bos taurus"	"2011"	Tanzania	 Serengeti District
"604"	"KY210241"	"Rabies lyssavirus"	11905	"GenBank"	"Capra hircus"	"2011"	Tanzania	 Serengeti District
"605"	"KY210242"	"Rabies lyssavirus"	11923	"GenBank"	"Capra hircus"	"2011"	Tanzania	 Serengeti District
"606"	"KY210243"	"Rabies lyssavirus"	11914	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"607"	"KY210244"	"Rabies lyssavirus"	11858	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"608"	"KY210245"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"609"	"KY210246"	"Rabies lyssavirus"	11923	"GenBank"	"Ovis aries"	"2012"	Tanzania	 Serengeti District
"610"	"KY210247"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"611"	"KY210248"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"612"	"KY210249"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"613"	"KY210250"	"Rabies lyssavirus"	11920	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"614"	"KY210251"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"615"	"KY210252"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"616"	"KY210253"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"617"	"KY210254"	"Rabies lyssavirus"	11922	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"618"	"KY210255"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"619"	"KY210256"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"620"	"KY210257"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"621"	"KY210258"	"Rabies lyssavirus"	11922	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"622"	"KY210259"	"Rabies lyssavirus"	11920	"GenBank"	"Felis catus"	"2013"	Tanzania	 Serengeti District
"623"	"KY210260"	"Rabies lyssavirus"	11897	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"624"	"KY210261"	"Rabies lyssavirus"	11923	"GenBank"	"Capra hircus"	"2013"	Tanzania	 Serengeti District
"625"	"KY210262"	"Rabies lyssavirus"	11923	"GenBank"	"Capra hircus"	"2013"	Tanzania	 Serengeti District
"626"	"KY210263"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"627"	"KY210264"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"628"	"KY210265"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"629"	"KY210266"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"630"	"KY210267"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"631"	"KY210268"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2013"	Tanzania	 Serengeti District
"632"	"KY210269"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"633"	"KY210270"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"634"	"KY210271"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"635"	"KY210272"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"636"	"KY210273"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2013"	Tanzania	 Serengeti District
"637"	"KY210274"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2013"	Tanzania	 Serengeti District
"638"	"KY210275"	"Rabies lyssavirus"	11914	"GenBank"	"Bos taurus"	"2013"	Tanzania	 Serengeti District
"639"	"KY210276"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2013"	Tanzania	 Serengeti District
"640"	"KY210277"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2011"	Tanzania	 Serengeti District
"641"	"KY210278"	"Rabies lyssavirus"	11920	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"642"	"KY210279"	"Rabies lyssavirus"	11903	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"643"	"KY210280"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"644"	"KY210281"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"645"	"KY210282"	"Rabies lyssavirus"	11869	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"646"	"KY210283"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2012"	Tanzania	 Serengeti District
"647"	"KY210284"	"Rabies lyssavirus"	11914	"GenBank"	"Canis"	"2012"	Tanzania	 Serengeti District
"648"	"KY210285"	"Rabies lyssavirus"	11923	"GenBank"	"Capra hircus"	"2012"	Tanzania	 Serengeti District
"649"	"KY210286"	"Rabies lyssavirus"	11922	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"650"	"KY210287"	"Rabies lyssavirus"	11873	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"651"	"KY210288"	"Rabies lyssavirus"	11922	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"652"	"KY210289"	"Rabies lyssavirus"	11920	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"653"	"KY210290"	"Rabies lyssavirus"	11920	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"654"	"KY210291"	"Rabies lyssavirus"	11923	"GenBank"	"Canis"	"2012"	Tanzania	 Serengeti District
"655"	"KY210292"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"656"	"KY210293"	"Rabies lyssavirus"	11915	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"657"	"KY210294"	"Rabies lyssavirus"	11920	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"658"	"KY210295"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"659"	"KY210296"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"660"	"KY210297"	"Rabies lyssavirus"	11923	"GenBank"	"Ovis aries"	"2012"	Tanzania	 Serengeti District
"661"	"KY210298"	"Rabies lyssavirus"	11920	"GenBank"	"Capra hircus"	"2012"	Tanzania	 Serengeti District
"662"	"KY210299"	"Rabies lyssavirus"	11914	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"663"	"KY210300"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"664"	"KY210301"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2012"	Tanzania	 Serengeti District
"665"	"KY210302"	"Rabies lyssavirus"	11920	"GenBank"	"Capra hircus"	"2012"	Tanzania	 Serengeti District
"666"	"KY210303"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"667"	"KY210304"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"668"	"KY210305"	"Rabies lyssavirus"	11923	"GenBank"	"Hyaenidae"	"2012"	Tanzania	 Serengeti District
"669"	"KY210306"	"Rabies lyssavirus"	11923	"GenBank"	"Viverridae"	"2012"	Tanzania	 Serengeti District
"670"	"KY210307"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"671"	"KY210308"	"Rabies lyssavirus"	11875	"GenBank"	"Bos taurus"	"2012"	Tanzania	 Serengeti District
"672"	"KY210309"	"Rabies lyssavirus"	11906	"GenBank"	""	"2012"	Tanzania	 Serengeti District
"673"	"KY210310"	"Rabies lyssavirus"	11891	"GenBank"	"Capra hircus"	"2012"	Tanzania	 Serengeti District
"674"	"KY210311"	"Rabies lyssavirus"	11919	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"675"	"KR906734"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2008"	Tanzania	 Serengeti District
"676"	"KR906737"	"Rabies lyssavirus"	11920	"GenBank"	"Canis lupus familiaris"	"2008"	Tanzania	 Serengeti District
"677"	"KR906738"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2004"	Tanzania	 Serengeti District
"678"	"KR906740"	"Rabies lyssavirus"	11914	"GenBank"	"Felis silvestris"	"2009"	Tanzania	 Serengeti District
"679"	"KR906742"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2009"	Tanzania	 Serengeti District
"680"	"KR906755"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"681"	"KR906756"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"682"	"KR906767"	"Rabies lyssavirus"	11914	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"683"	"KR906768"	"Rabies lyssavirus"	11878	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"684"	"KR906769"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"685"	"KR906770"	"Rabies lyssavirus"	11914	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"686"	"KR906771"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"687"	"KR906772"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"688"	"KR906773"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"689"	"KR906774"	"Rabies lyssavirus"	11921	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"690"	"KR906775"	"Rabies lyssavirus"	11854	"GenBank"	""	"2011"	Tanzania	 Serengeti District
"691"	"KR906776"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"692"	"KR906777"	"Rabies lyssavirus"	11923	"GenBank"	""	"2011"	Tanzania	 Serengeti District
"693"	"KR906778"	"Rabies lyssavirus"	11914	"GenBank"	""	"2011"	Tanzania	 Serengeti District
"694"	"KR906779"	"Rabies lyssavirus"	11920	"GenBank"	"Bos taurus"	"2012"	Tanzania	 Serengeti District
"695"	"KR906780"	"Rabies lyssavirus"	11920	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"696"	"KR906781"	"Rabies lyssavirus"	11923	"GenBank"	""	"2012"	Tanzania	 Serengeti District
"697"	"KR906782"	"Rabies lyssavirus"	11919	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"698"	"KR906783"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"699"	"KR906784"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"700"	"KR906785"	"Rabies lyssavirus"	11922	"GenBank"	""	"2012"	Tanzania	 Serengeti District
"701"	"KR906786"	"Rabies lyssavirus"	11923	"GenBank"	"Sus scrofa"	"2012"	Tanzania	 Serengeti District
"702"	"KR906787"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2012"	Tanzania	 Serengeti District
"703"	"KR906788"	"Rabies lyssavirus"	11919	"GenBank"	"Bos taurus"	"2012"	Tanzania	 Serengeti District
"704"	"KR906789"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"705"	"KR906790"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"706"	"KR906791"	"Rabies lyssavirus"	11874	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"707"	"KR906792"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2012"	Tanzania	 Serengeti District
"708"	"KR534217"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2008"	Tanzania	 Serengeti District
"709"	"KR534218"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2008"	Tanzania	 Serengeti District
"710"	"KR534219"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2007"	Tanzania	 Serengeti District
"711"	"KR534220"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2008"	Tanzania	 Serengeti District
"712"	"KR534228"	"Rabies lyssavirus"	11914	"GenBank"	"Canis lupus familiaris"	"2010"	Tanzania	 Serengeti District
"713"	"KR534229"	"Rabies lyssavirus"	11849	"GenBank"	"Canis lupus familiaris"	"2010"	Tanzania	 Serengeti District
"714"	"KR534230"	"Rabies lyssavirus"	11885	"GenBank"	"Canis lupus familiaris"	"2010"	Tanzania	 Serengeti District
"715"	"KR534231"	"Rabies lyssavirus"	11884	"GenBank"	"Canis lupus familiaris"	"2010"	Tanzania	 Serengeti District
"716"	"KR534232"	"Rabies lyssavirus"	11923	"GenBank"	"Canis"	"2011"	Tanzania	 Serengeti District
"717"	"KR534233"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"718"	"KR534234"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2011"	Tanzania	 Serengeti District
"719"	"KR534235"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2011"	Tanzania	 Serengeti District
"720"	"KR534236"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2011"	Tanzania	 Serengeti District
"721"	"KR534237"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2011"	Tanzania	 Serengeti District
"722"	"KR534238"	"Rabies lyssavirus"	11867	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"723"	"KR534244"	"Rabies lyssavirus"	11914	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"724"	"KR534245"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2011"	Tanzania	 Serengeti District
"725"	"KR534246"	"Rabies lyssavirus"	11923	"GenBank"	"Viverridae"	"2011"	Tanzania	 Serengeti District
"726"	"KR534247"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"727"	"KR534248"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2011"	Tanzania	 Serengeti District
"728"	"KR534249"	"Rabies lyssavirus"	11917	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"729"	"KR534250"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"730"	"KR534251"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"731"	"KR534252"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"732"	"KR534253"	"Rabies lyssavirus"	11922	"GenBank"	"Canis lupus familiaris"	"2011"	Tanzania	 Serengeti District
"733"	"KR534254"	"Rabies lyssavirus"	11923	"GenBank"	"Felis catus"	"2011"	Tanzania	 Serengeti District
"734"	"KR534256"	"Rabies lyssavirus"	11921	"GenBank"	"Bos taurus"	"2011"	Tanzania	 Serengeti District
"735"	"KR906745"	"Rabies lyssavirus"	11914	"GenBank"	"Canis lupus familiaris"	"2010"	Tanzania	 Pwani region
"736"	"KR906748"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"2010"	Tanzania	 Pemba, Chake chake
"737"	"KR906749"	"Rabies lyssavirus"	11878	"GenBank"	"Canis lupus familiaris"	"2010"	Tanzania	 Pemba island
"738"	"KR906750"	"Rabies lyssavirus"	11854	"GenBank"	"Canis lupus familiaris"	"2010"	Tanzania	 Pemba island
"739"	"KR906766"	"Rabies lyssavirus"	11914	"GenBank"	"Canis lupus familiaris"	"2010"	Tanzania	 Pemba island
"740"	"KR906753"	"Rabies lyssavirus"	11922	"GenBank"	"Bos taurus"	"2011"	Tanzania	 Mtwara region
"741"	"KR906735"	"Rabies lyssavirus"	11903	"GenBank"	"Canis lupus familiaris"	"2008"	Tanzania	 Morogoro region
